id,Year_of_Release,Platform,Total_Sales
259,2016,GC,0
260,1980,GEN,0
261,1981,GEN,0
262,1982,GEN,0
263,1983,GEN,0
264,1984,GEN,0
265,1985,GEN,0
266,1986,GEN,0
267,1987,GEN,0
268,1988,GEN,0
269,1989,GEN,0
270,1990,GEN,2.6
271,1991,GEN,4.33
272,1992,GEN,12.64
273,1993,GEN,0.65
274,1994,GEN,8.13
275,1995,GEN,0
276,1996,GEN,0
277,1997,GEN,0
278,1998,GEN,0
279,1999,GEN,0
280,2000,GEN,0
281,2001,GEN,0
282,2002,GEN,0
283,2003,GEN,0
284,2004,GEN,0
285,2005,GEN,0
286,2006,GEN,0
287,2007,GEN,0
288,2008,GEN,0
289,2009,GEN,0
290,2010,GEN,0
291,2011,GEN,0
292,2012,GEN,0
293,2013,GEN,0
294,2014,GEN,0
295,2015,GEN,0
296,2016,GEN,0
297,1980,N64,0
298,1981,N64,0
299,1982,N64,0
300,1983,N64,0
301,1984,N64,0
302,1985,N64,0
303,1986,N64,0
304,1987,N64,0
305,1988,N64,0
306,1989,N64,0
307,1990,N64,0
308,1991,N64,0
309,1992,N64,0
310,1993,N64,0
311,1994,N64,0
312,1995,N64,0
313,1996,N64,34.1
314,1997,N64,39.5
315,1998,N64,49.24
316,1999,N64,57.87
317,2000,N64,33.97
318,2001,N64,3.25
319,2002,N64,0.08
320,2003,N64,0
321,2004,N64,0
322,2005,N64,0
323,2006,N64,0
324,2007,N64,0
325,2008,N64,0
326,2009,N64,0
327,2010,N64,0
328,2011,N64,0
329,2012,N64,0
330,2013,N64,0
331,2014,N64,0
332,2015,N64,0
333,2016,N64,0
334,1980,NES,0
335,1981,NES,0
336,1982,NES,0
337,1983,NES,10.96
338,1984,NES,50.08
339,1985,NES,53.44
340,1986,NES,36.41
341,1987,NES,19.76
342,1988,NES,45.01
343,1989,NES,7.85
344,1990,NES,15.73
345,1991,NES,6.11
346,1992,NES,1.98
347,1993,NES,3.61
348,1994,NES,0.11
349,1995,NES,0
350,1996,NES,0
351,1997,NES,0
352,1998,NES,0
